shop_num,cash_num,cheque_id,date,product,category,quantity,price,discount_perc
5,3,cheque_№-4617892023,2025-02-03 23:26:34,Экологичный стиральный порошок,Кухонные принадлежности,3,873,10
5,3,cheque_№-9050576454,2025-05-31 01:45:16,Щётка для чистки,Бытовая химия,1,2577,10
5,3,cheque_№-0799231648,2025-01-30 06:18:32,Полироль для мебели,Бытовая химия,6,373,15
5,3,cheque_№-9014698427,2025-04-16 21:18:41,Полироль для мебели,Бытовая химия,4,2077,0
5,3,cheque_№-2208189071,2025-01-06 04:31:24,Средство для дезинфекции,Инструмент,10,4691,5
5,3,cheque_№-1365110907,2025-04-13 23:12:21,Средство для очистки канализационных труб,Кухонные принадлежности,7,3860,20
5,3,cheque_№-7449435316,2025-04-22 09:43:49,Набор губок для мытья посуды,Бытовая химия,4,2339,20
5,3,cheque_№-2636631567,2025-05-30 16:07:50,Экологичный стиральный порошок,Бытовая химия,1,4478,0
5,3,cheque_№-6223761650,2025-02-18 08:24:45,Средство для дезинфекции,Кухонные принадлежности,4,4018,0
5,3,cheque_№-8564772077,2025-05-27 22:39:53,Набор инструментов для мелкого ремонта,Кухонные принадлежности,10,4113,0
5,3,cheque_№-3634829791,2025-05-10 19:46:12,Набор посуды для кухни,Кухонные принадлежности,5,4070,15
5,3,cheque_№-0076162027,2025-03-07 23:17:23,Средство для дезинфекции,Бытовая химия,10,850,20
5,3,cheque_№-8825810509,2025-02-18 23:10:00,Ароматизатор воздуха,Инструмент,3,4153,20
5,3,cheque_№-2451250471,2025-06-07 21:54:05,Средство для ухода за полами,Инструмент,6,3132,0
5,3,cheque_№-3253290266,2025-04-29 17:43:25,Экологичный стиральный порошок,Инструмент,2,4988,5
5,3,cheque_№-7322643669,2025-04-28 04:37:19,Средство для очистки канализационных труб,Инструмент,5,2436,15
5,3,cheque_№-2929647283,2025-04-10 01:05:59,Набор отверток,Кухонные принадлежности,9,3746,0
5,3,cheque_№-7726314627,2025-05-06 11:38:11,Средство для удаления пятен,Бытовая химия,4,4599,10
5,3,cheque_№-8953432243,2025-04-24 00:37:21,Набор посуды для кухни,Кухонные принадлежности,9,148,20
5,3,cheque_№-3070790938,2025-06-13 23:24:35,Средство для дезинфекции,Бытовая химия,8,501,15
5,3,cheque_№-4690776009,2025-01-26 03:19:47,Средство для ухода за стеклом,Инструмент,1,3630,20
5,3,cheque_№-2045994037,2025-01-18 18:13:43,Щётка для чистки,Инструмент,7,4470,10
5,3,cheque_№-1709381569,2025-01-10 09:46:49,Средство для ухода за стеклом,Кухонные принадлежности,1,2624,0
5,3,cheque_№-9353648216,2025-05-31 05:21:02,Средство для удаления пятен,Инструмент,5,4234,10
5,3,cheque_№-1592864148,2025-02-26 09:23:43,Шуруповерт,Бытовая химия,8,380,15
5,3,cheque_№-8842851116,2025-01-06 07:37:28,Ароматизатор воздуха,Кухонные принадлежности,8,1080,20
5,3,cheque_№-7884501891,2025-06-02 06:20:33,Ароматизатор воздуха,Инструмент,3,3381,5
5,3,cheque_№-9176601665,2025-03-21 22:13:44,Экологичный стиральный порошок,Бытовая химия,3,1426,5
5,3,cheque_№-2968407904,2025-03-15 12:40:43,Набор губок для мытья посуды,Бытовая химия,8,3205,5
5,3,cheque_№-4119599679,2025-05-24 05:10:16,Набор посуды для кухни,Инструмент,10,1475,20
5,3,cheque_№-0588296571,2025-03-01 07:28:58,Набор посуды для кухни,Инструмент,10,4633,20
5,3,cheque_№-1743033589,2025-05-11 08:31:39,Средство для ухода за полами,Кухонные принадлежности,9,2671,15
